filename,size_bytes,sha256
chinadns-ng_2025.08.09-1_arm_cortex-a7_neon-vfpv4.ipk,270033,a85153d18cec2dae46adaba389bc18d2e9784abe23187f1485f9932becd3531d
dns2socks_2.1-2_arm_cortex-a7_neon-vfpv4.ipk,11524,56ff82163976a9f5d86ff5e03f4a6a32cacf4204da4fd6126f5b56cd0edcfec2
dnsmasq-full_2.90-2_arm_cortex-a7_neon-vfpv4.ipk,200179,2ceacf294e339416f5b3c7a9abea85f2f007a68570f68fd1d340280f72aec141
geoview_0.1.10-1_arm_cortex-a7_neon-vfpv4.ipk,2426722,9450261de44d9269e21839caa27e3d026af86d3b653e932dc8be7ecf7816ba9c
hysteria_2.6.2-1_arm_cortex-a7_neon-vfpv4.ipk,7052016,51efd74d6b1e511834a92bc7c0d1bd7da25bddfcaa1ee4693e61ac3580a71efa
ipt2socks_1.1.4-3_arm_cortex-a7_neon-vfpv4.ipk,26360,de66c86d93d8b2810849a871564687ecf08d2318faef9175109739606b559f60
kmod-nft-socket_5.15.167-1_arm_cortex-a7_neon-vfpv4.ipk,3072,7343f6df15b6dcbe7fe1ba0379bd76dae5b7253acc8add0aa9987b0ed106bb09
kmod-nft-tproxy_5.15.167-1_arm_cortex-a7_neon-vfpv4.ipk,3669,25994cfb28947387ff6804d7a39dd4b829be75cb237a1f3912c2596b98ec4efe
libpcre2_10.42-1_arm_cortex-a7_neon-vfpv4.ipk,183113,ef3b0df5ef899c2be8ae292b86fd8eb17ec47f884452fe6bd3e8e5fe63403840
luci-app-passwall2_25.8.25_all.ipk,267185,c5275e0cd7b1d0dc2cb293f5e91b33ca179f39727ffe1372f59f3a3b117e7d91
luci-i18n-passwall2-zh-cn_git-25.238.18547-bc10c37_all.ipk,15587,51b235afbf314934ed917a6ae70ee2aa67c8a47897893e7627f35c50f10685f4
microsocks_1.0.5-1_arm_cortex-a7_neon-vfpv4.ipk,6345,11dff7b32abc190330903f11c6e8542e5470e882b21f4088a09904ce49b790cc
naiveproxy_139.0.7258.62-1_arm_cortex-a7_neon-vfpv4.ipk,3405493,b4a688a0c921a5238ac550e37f55d4b99300b570c9e990d44af8e5de7815037c
shadow-tls_0.2.25-1_arm_cortex-a7_neon-vfpv4.ipk,1211642,ebc10ddb5321da9d27de91c519a1010a4b985b7eff9eddd73de638e35184ff9b
shadowsocks-libev-ss-local_3.3.5-13_arm_cortex-a7_neon-vfpv4.ipk,50124,529908d2b0385fbdb1c161d713daa5407e303b6a982e4634878eec034d7cab4e
shadowsocks-libev-ss-redir_3.3.5-13_arm_cortex-a7_neon-vfpv4.ipk,45397,b6b2cacd8765f1d039fbc811a2e135a29586a4be76793871d74ac4c61793912f
shadowsocks-libev-ss-server_3.3.5-13_arm_cortex-a7_neon-vfpv4.ipk,54723,686d8f38d2532668175488796a07ee93cdbaa08bb63ebe8911edb9144e5855ad
shadowsocks-libev-ss-tunnel_3.3.5-13_arm_cortex-a7_neon-vfpv4.ipk,43146,bc8c6e018ab4e25df02a6fe2c514e9374df1bf2dba1560bd3f31baa35c257524
shadowsocks-rust-sslocal_1.23.5-1_arm_cortex-a7_neon-vfpv4.ipk,3341781,e3d0b011bbba0a4956e2a7cbc83c8e3aebb372a0a1d59ed58474631c2a46dd65
shadowsocks-rust-ssmanager_1.23.5-1_arm_cortex-a7_neon-vfpv4.ipk,2687260,eed68d1ce679e779f600c996ba6e6c9dec310fb7cb78cdf0db43fb325a257505
shadowsocks-rust-ssserver_1.23.5-1_arm_cortex-a7_neon-vfpv4.ipk,2620497,711973ec5c48ccdce487ba27efba9dbca4e8f839fa9669252a3ce6a7720b6a4a
shadowsocks-rust-ssservice_1.23.5-1_arm_cortex-a7_neon-vfpv4.ipk,3544566,937cf833cfb48ea6fa6fa071483255db50e480ed97e9934e9863df5b993c5c9e
shadowsocks-rust-ssurl_1.23.5-1_arm_cortex-a7_neon-vfpv4.ipk,957153,2e247b0d4f4686e22ece60b7f891eea0bfbdd3379377a4511ef45e64b55f2861
shadowsocksr-libev-ssr-check_2.5.6-11_arm_cortex-a7_neon-vfpv4.ipk,3032,bb5c253b20f6181349255e0ed5aa77b3929b119561ae5e6a8aba7773f8bdc149
shadowsocksr-libev-ssr-local_2.5.6-11_arm_cortex-a7_neon-vfpv4.ipk,60580,3782d5616ad14dc19aabddf511b0f9b01b15bab05caf61da2c6411bd6aa63de0
shadowsocksr-libev-ssr-nat_2.5.6-11_arm_cortex-a7_neon-vfpv4.ipk,2996,4afcd8d39720af7beebb6dec872e3e97ec792c7fa7ac2810841258363b1ea039
shadowsocksr-libev-ssr-redir_2.5.6-11_arm_cortex-a7_neon-vfpv4.ipk,54689,68612a0d55d29a7289991853efac24049524f845fa65d4d8c757f392631401a6
shadowsocksr-libev-ssr-server_2.5.6-11_arm_cortex-a7_neon-vfpv4.ipk,63902,993e500475155924ee246dc80a4e328ea8ed0e15288f26e1752c2cdbd29c876f
simple-obfs-client_0.0.5-3_arm_cortex-a7_neon-vfpv4.ipk,28069,0e0359a332df63b4f1a8d8f786c35645a608f7d54e1f63b1bdc575da86675674
simple-obfs-server_0.0.5-3_arm_cortex-a7_neon-vfpv4.ipk,30517,a58d819206373753901fa6ac619143f0ad3d674453ecede88a9e90ddc0945fd1
sing-box_1.12.3-1_arm_cortex-a7_neon-vfpv4.ipk,15312121,0d4c45bde4b836837a5d8188b0f5003ba07ef565e90770d0debc4f16da610a72
tcping_0.3-1_arm_cortex-a7_neon-vfpv4.ipk,4153,11a01cdb59db679c2a842a3f3c7c1c469b2db6def31c621ccea1b2e3d0e8de3b
trojan-plus_10.0.3-2_arm_cortex-a7_neon-vfpv4.ipk,382377,c4f741a9c7d794100812ee07fef383988ffe769d4106c1b8727ad611a25fe4a8
tuic-client_1.0.0-1_arm_cortex-a7_neon-vfpv4.ipk,943102,a566538d04f012ee2499d649240234202835b81e444217bab3b763645fcc5a69
unzip_6.0-8_arm_cortex-a7_neon-vfpv4.ipk,110337,247bc9c07b055e0cf20e78de2b1ba22dc94886b4988728564d73de01d9d88ebd
v2ray-geoip_202508210019.1_all.ipk,4175794,e78b85cf137e51cb34e8a6399f4c216b998789ce5d5082b92202572eadb85525
v2ray-geosite_202508252213.1_all.ipk,3196222,452f0b1ff8ae059335a39f08bc6523d39b3884fdf44139ff90ee65cd5ef6cca5
v2ray-plugin_5.37.0-1_arm_cortex-a7_neon-vfpv4.ipk,6026504,3fe0e6b2c1ef91acdf424d94770c8bab8928c23d668a90eaec9cb802682a0f7d
wget-ssl_1.21.4-1_arm_cortex-a7_neon-vfpv4.ipk,203790,0f2c3dc24a1211856f3beab3c52548456433fa222c48677949a31421ee91efa3
xray-core_25.8.3-1_arm_cortex-a7_neon-vfpv4.ipk,10423053,a1db79da1dea32a8826b96fd225d2eb6c90c2cb6c1f38cd2a2bf7b620b68ec91
xray-plugin_1.8.24-1_arm_cortex-a7_neon-vfpv4.ipk,6908793,720d4bf49662e827bff7aa13794e0c077efe43dba50b746bb8f2237f4ed40df0
zlib_1.2.13-1_arm_cortex-a7_neon-vfpv4.ipk,38617,bde4d307c71fc9e27e65a49d6b204ccc3ed42c1fee39e66bef2fa0caba31c70a
